Paper Title,Number_of_Hallmarks,Total_Score,Primary_Hallmark,Primary_Hallmark_Score,Is_Aging_Related
"Genomic Instability and Aging-like Phenotype in the Absence of Mammalian SIRT6",2,2.415874,"genome instability",1.610259,Yes
"Phylogenetic Classification of Prokaryotic and Eukaryotic Sir2-like Proteins",2,3.564378,"epigenetic alterations",3.150411,Yes
"Evolutionarily Conserved and Nonconserved Cellular Localizations and Functions of Human SIRT Proteins",1,3.398911,"epigenetic alterations",3.398911,Yes
"SIRT6 is a histone H3 lysine 9 deacetylase that modulates telomeric chromatin",3,4.626070,"epigenetic alterations",3.860183,Yes
"SIRT6 Links Histone H3 Lysine 9 Deacetylation to NF-κB-Dependent Gene Expression and Organismal Life Span",2,4.679854,"epigenetic alterations",4.268411,Yes
"The sirtuin SIRT6 regulates lifespan in male mice",1,2.728014,"epigenetic alterations",2.728014,Yes
"The Histone Deacetylase Sirt6 Regulates Glucose Homeostasis via Hif1α",2,3.052049,"epigenetic alterations",2.933607,Yes
"SIRT6 Promotes DNA Repair Under Stress by Activating PARP1",1,2.328006,"genome instability",2.328006,Yes
"Slowing ageing by design: the rise of NAD+ and sirtuin-activating compounds",1,2.100395,"epigenetic alterations",2.100395,Yes
"SIRT6 regulates TNF-α secretion through hydrolysis of long-chain fatty acyl lysine",1,1.059229,"epigenetic alterations",1.059229,Yes
"miR-33a/b contribute to the regulation of fatty acid metabolism and insulin signaling",1,0.844007,"deregulated nutrient sensing",0.844007,Yes
"The Histone Deacetylase SIRT6 Is a Tumor Suppressor that Controls Cancer Metabolism",1,2.055737,"epigenetic alterations",2.055737,Yes
"Activation of the Protein Deacetylase SIRT6 by Long-chain Fatty Acids and Widespread Deacylation by Mammalian Sirtuins",2,3.790683,"epigenetic alterations",3.641151,Yes
"Mouse Sir2 Homolog SIRT6 Is a Nuclear ADP-ribosyltransferase",1,0.868534,"epigenetic alterations",0.868534,Yes
"Cellular Senescence as a Mechanism and Target in Chronic Lung Diseases",2,1.399664,"cellular senescence",0.802000,Yes
"Hepatic-Specific Disruption of SIRT6 in Mice Results in Fatty Liver Formation Due to Enhanced Glycolysis and Triglyceride Synthesis",2,2.098275,"epigenetic alterations",1.616124,Yes
"The sirtuin SIRT6 blocks IGF-Akt signaling and development of cardiac hypertrophy by targeting c-Jun",1,3.950033,"epigenetic alterations",3.950033,Yes
"LINE1 Derepression in Aged Wild-Type and SIRT6-Deficient Mice Drives Inflammation",2,1.666726,"epigenetic alterations",0.870336,Yes
"Protective effects of sirtuins in cardiovascular diseases: from bench to bedside",1,2.270783,"epigenetic alterations",2.270783,Yes
"SIRT6 represses LINE1 retrotransposons by ribosylating KAP1 but this repression fails with stress and age",3,1.081820,"telomere attrition",0.539958,Yes
"SIRT6 Recruits SNF2H to DNA Break Sites, Preventing Genomic Instability through Chromatin Remodeling",2,4.968597,"epigenetic alterations",3.306788,Yes
"SIRT1 and SIRT6 Signaling Pathways in Cardiovascular Disease Protection",3,3.241533,"epigenetic alterations",2.162760,Yes
"RETRACTED: Human SIRT6 Promotes DNA End Resection Through CtIP Deacetylation",2,3.887285,"genome instability",1.965112,Yes
"Critical Reanalysis of the Mechanisms Underlying the Cardiorenal Benefits of SGLT2 Inhibitors and Reaffirmation of the Nutrient Deprivation Signaling/Autophagy Hypothesis",3,2.272353,"epigenetic alterations",1.008813,Yes
"Chromatin and beyond: the multitasking roles for SIRT6",3,2.703317,"epigenetic alterations",1.980881,Yes
"The nuclear signaling of NF-κB: current knowledge, new insights, and future perspectives",1,0.668332,"chronic inflammation",0.668332,Yes
"The role of sirtuins in cardiac disease",2,4.762845,"epigenetic alterations",4.278342,Yes
"Sirtuins mediate mammalian metabolic responses to nutrient availability",2,1.892438,"epigenetic alterations",1.426201,Yes
"SIRT6 Is Responsible for More Efficient DNA Double-Strand Break Repair in Long-Lived Species",1,1.843011,"genome instability",1.843011,Yes
"Sirt6 deficiency exacerbates podocyte injury and proteinuria through targeting Notch signaling",2,1.310660,"epigenetic alterations",0.896241,Yes
"NAD+-dependent Sirtuin 1 and 6 Proteins Coordinate a Switch from Glucose to Fatty Acid Oxidation during the Acute Inflammatory Response",2,0.635645,"chronic inflammation",0.422344,Yes
"SIRT6 safeguards human mesenchymal stem cells from oxidative stress by coactivating NRF2",3,1.994905,"epigenetic alterations",0.887745,Yes
"Accelerated epithelial cell senescence in IPF and the inhibitory role of SIRT6 in TGF-β-induced senescence of human bronchial epithelial cells",1,1.393805,"cellular senescence",1.393805,Yes
"Sirtuins in Renal Health and Disease",2,2.736390,"epigenetic alterations",2.231596,Yes
"The Dual Role of Sirtuins in Cancer",1,2.152795,"epigenetic alterations",2.152795,Yes
"SIRT6 protects against pathological damage caused by diet‐induced obesity",1,1.176587,"epigenetic alterations",1.176587,Yes
"SIRT6 stabilizes DNA-dependent Protein Kinase at chromatin for DNA double-strand break repair",2,1.249451,"epigenetic alterations",0.681462,Yes
"SIRT6 Suppresses Pancreatic Cancer through Control of Lin28b",1,4.008493,"epigenetic alterations",4.008493,Yes
"Structure and Biochemical Functions of SIRT6",2,3.057241,"epigenetic alterations",2.872282,Yes
"Partitioning Circadian Transcription by SIRT6 Leads to Segregated Control of Cellular Metabolism",1,2.204268,"epigenetic alterations",2.204268,Yes
"The Deacetylase Sirt6 Activates the Acetyltransferase GCN5 and Suppresses Hepatic Gluconeogenesis",2,2.143625,"epigenetic alterations",1.983896,Yes
"Intracellular NAD levels regulate tumor necrosis factor protein synthesis in a sirtuin-dependent manner",2,1.716488,"epigenetic alterations",1.311999,Yes
"Sirtuins: guardians of mammalian healthspan",1,2.927757,"epigenetic alterations",2.927757,Yes
"Exercise alters SIRT1, SIRT6, NAD and NAMPT levels in skeletal muscle of aged rats",3,2.540051,"epigenetic alterations",1.456507,Yes
"Sirtuins and Type 2 Diabetes: Role in Inflammation, Oxidative Stress, and Mitochondrial Function",3,4.375356,"epigenetic alterations",3.278083,Yes
"SIRT6: Novel Mechanisms and Links to Aging and Disease",2,2.989120,"epigenetic alterations",2.924556,Yes
"Sirtuins, Cell Senescence, and Vascular Aging",4,4.307374,"epigenetic alterations",2.906981,Yes
"Identification of a cellularly active SIRT6 allosteric activator",0,0.000000,"None",0.000000,No
"Sirtuins and Their Roles in Brain Aging and Neurodegenerative Disorders",0,0.000000,"None",0.000000,No
"Regulation of Akt Signaling by Sirtuins",1,0.433086,"epigenetic alterations",0.433086,Yes
"Liver cancer initiation is controlled by AP-1 through SIRT6-dependent inhibition of survivin",1,2.118266,"epigenetic alterations",2.118266,Yes
"Site-specific mapping and quantification of protein S-sulphenylation in cells",1,0.561727,"epigenetic alterations",0.561727,Yes
"LncPRESS1 Is a p53-Regulated LncRNA that Safeguards Pluripotency by Disrupting SIRT6-Mediated De-acetylation of Histone H3K56",1,2.672948,"epigenetic alterations",2.672948,Yes
"Tumor suppressor p53 cooperates with SIRT6 to regulate gluconeogenesis by promoting FoxO1 nuclear exclusion",2,2.371679,"epigenetic alterations",2.071952,Yes
"Nuclear sirtuins and inflammatory signaling pathways",1,0.429006,"chronic inflammation",0.429006,Yes
"Melatonin attenuates diabetic cardiomyopathy and reduces myocardial vulnerability to ischemia‐reperfusion injury by improving mitochondrial quality control: Role of SIRT6",0,0.000000,"None",0.000000,No
"SIRT6 deacetylates H3K18ac at pericentric chromatin to prevent mitotic errors and cellular senescence",2,2.526055,"epigenetic alterations",1.675191,Yes
"The Tumor-Suppressive Human Circular RNA CircITCH Sponges miR-330-5p to Ameliorate Doxorubicin-Induced Cardiotoxicity Through Upregulating SIRT6, Survivin, and SERCA2a",1,0.625028,"genome instability",0.625028,Yes
"SIRT6 Protects Smooth Muscle Cells From Senescence and Reduces Atherosclerosis",6,4.833525,"epigenetic alterations",2.104330,Yes
"Sirtuins and renal diseases: relationship with aging and diabetic nephropathy",4,3.230652,"epigenetic alterations",1.651798,Yes
"SIRT6, a Mammalian Deacylase with Multitasking Abilities",3,2.572367,"epigenetic alterations",1.579087,Yes
"SIRT6 Deficiency Results in Severe Hypoglycemia by Enhancing Both Basal and Insulin-stimulated Glucose Uptake in Mice",2,1.380608,"deregulated nutrient sensing",0.732861,Yes
"USP10 Antagonizes c-Myc Transcriptional Activation through SIRT6 Stabilization to Suppress Tumor Formation",2,1.523800,"epigenetic alterations",0.873607,Yes
"SIRT6 deficiency results in developmental retardation in cynomolgus monkeys",1,1.335972,"epigenetic alterations",1.335972,Yes
"Sirtuin 6 Expression and Inflammatory Activity in Diabetic Atherosclerotic Plaques: Effects of Incretin Treatment",2,1.336519,"chronic inflammation",0.670112,Yes
"Regulation of SIRT6 protein levels by nutrient availability",1,2.050168,"epigenetic alterations",2.050168,Yes
"FoxO3 Transcription Factor and Sirt6 Deacetylase Regulate Low Density Lipoprotein (LDL)-cholesterol Homeostasis via Control of the Proprotein Convertase Subtilisin/Kexin Type 9 (Pcsk9) Gene Expression",1,0.764320,"epigenetic alterations",0.764320,Yes
"Mammalian Sirtuins and Energy Metabolism",2,3.103426,"epigenetic alterations",2.669947,Yes
"The sirtuin family members SIRT1, SIRT3 and SIRT6: Their role in vascular biology and atherogenesis",2,4.053904,"epigenetic alterations",3.630648,Yes
"Kinetic and Structural Basis for Acyl-Group Selectivity and NAD<sup>+</sup> Dependence in Sirtuin-Catalyzed Deacylation",1,1.734187,"epigenetic alterations",1.734187,Yes
"Efficient Demyristoylase Activity of SIRT2 Revealed by Kinetic and Structural Studies",1,2.574302,"epigenetic alterations",2.574302,Yes
"NAD metabolism fuels human and mouse intestinal inflammation",2,0.532483,"chronic inflammation",0.532483,Yes
"Neural sirtuin 6 (Sirt6) ablation attenuates somatic growth and causes obesity",1,3.542268,"epigenetic alterations",3.542268,Yes
"The NAD+-dependent Histone Deacetylase SIRT6 Promotes Cytokine Production and Migration in Pancreatic Cancer Cells by Regulating Ca2+ Responses",3,2.748625,"epigenetic alterations",1.733859,Yes
"SIRT6 protects human endothelial cells from DNA damage, telomere dysfunction, and senescence",4,2.492995,"telomere attrition",0.665687,Yes
"Sirtuin 6 (SIRT6) rescues the decline of homologous recombination repair during replicative senescence",4,4.568078,"genome instability",2.239376,Yes
"Autophagy Induction by SIRT6 through Attenuation of Insulin-like Growth Factor Signaling Is Involved in the Regulation of Human Bronchial Epithelial Cell Senescence",3,2.019497,"disabled macroautophagy",0.871571,Yes
"Sirt6 Suppresses High Glucose-Induced Mitochondrial Dysfunction and Apoptosis in Podocytes through AMPK Activation",2,1.153781,"deregulated nutrient sensing",0.652226,Yes
"Hepatic SREBP-2 and cholesterol biosynthesis are regulated by FoxO3 and Sirt6",1,2.735186,"epigenetic alterations",2.735186,Yes
"SIRT6 modulates paclitaxel and epirubicin resistance and survival in breast cancer",0,0.000000,"None",0.000000,No
"Restoration of energy homeostasis by SIRT6 extends healthy lifespan",2,1.530933,"epigenetic alterations",0.983957,Yes
"Catastrophic NAD+ Depletion in Activated T Lymphocytes through Nampt Inhibition Reduces Demyelination and Disability in EAE",1,0.133798,"stem cell exhaustion",0.133798,Yes
"Investigating the ADP-ribosyltransferase Activity of Sirtuins with NAD Analogues and <sup>32</sup>P-NAD",1,1.684642,"epigenetic alterations",1.684642,Yes
"Sirtuin-6–Dependent Genetic And Epigenetic Alterations Are Associated With Poor Clinical Outcome in Hepatocellular Carcinoma Patients",1,1.286416,"epigenetic alterations",1.286416,Yes
"Altered expression of SIRT gene family in head and neck squamous cell carcinoma",1,2.574555,"epigenetic alterations",2.574555,Yes
"Oxidative stress dependent microRNA-34a activation via PI3Kα reduces the expression of sirtuin-1 and sirtuin-6 in epithelial cells",3,1.862215,"mitochondrial dysfunction",0.783209,Yes
"Icariin‐induced inhibition of SIRT6/NF‐κB triggers redox mediated apoptosis and enhances anti‐tumor immunity in triple‐negative breast cancer",1,0.563931,"chronic inflammation",0.563931,Yes
"Structural Basis of Sirtuin 6 Activation by Synthetic Small Molecules",2,3.196572,"epigenetic alterations",2.992277,Yes
"Chromatin regulation and genome maintenance by mammalian SIRT6",3,6.573364,"epigenetic alterations",4.444257,Yes
"Emerging roles of SIRT6 in human diseases and its modulators",3,2.918027,"epigenetic alterations",1.974124,Yes
"Neuroprotective Functions for the Histone Deacetylase SIRT6",2,4.027791,"epigenetic alterations",2.832151,Yes
"Progression of Chronic Liver Inflammation and Fibrosis Driven by Activation of c-JUN Signaling in Sirt6 Mutant Mice",2,2.149656,"epigenetic alterations",1.285590,Yes
"Understanding the Role of Histone Deacetylase and their Inhibitors inNeurodegenerative Disorders: Current Targets and Future Perspective",2,2.397595,"epigenetic alterations",2.293082,Yes
"The histone deacetylase SIRT6 controls embryonic stem cell fate via TET-mediated production of 5-hydroxymethylcytosine",1,3.104146,"epigenetic alterations",3.104146,Yes
"Allosteric Methods and Their Applications: Facilitating the Discovery of Allosteric Drugs and the Investigation of Allosteric Mechanisms",0,0.000000,"None",0.000000,No
"SIRT6 is required for maintenance of telomere position effect in human cells",2,3.436433,"epigenetic alterations",2.560780,Yes
"Multiple Regulatory Layers of SREBP1/2 by SIRT6",1,0.820586,"epigenetic alterations",0.820586,Yes
"Sirtuins and intervertebral disc degeneration: Roles in inflammation, oxidative stress, and mitochondrial function",4,5.099700,"epigenetic alterations",3.370499,Yes
"Epigenetic modulation of chronic anxiety and pain by histone deacetylation",1,2.471798,"epigenetic alterations",2.471798,Yes
"Sirt6 Alleviated Liver Fibrosis by Deacetylating Conserved Lysine 54 on Smad2 in Hepatic Stellate Cells",1,1.903199,"epigenetic alterations",1.903199,Yes
"SIRT6 in DNA repair, metabolism and ageing",2,3.258243,"epigenetic alterations",1.901921,Yes
"Cold-Inducible SIRT6 Regulates Thermogenesis of Brown and Beige Fat",0,0.000000,"None",0.000000,No
"SIRT6 protects cardiomyocytes against ischemia/reperfusion injury by augmenting FoxO3α-dependent antioxidant defense mechanisms",0,0.000000,"None",0.000000,No
"Differential expression of sirtuins in the aging rat brain",1,3.361147,"epigenetic alterations",3.361147,Yes
"Endothelial SIRT6 Is Vital to Prevent Hypertension and Associated Cardiorenal Injury Through Targeting Nkx3.2-GATA5 Signaling",0,0.000000,"None",0.000000,No
"SIRT6 deacetylates PKM2 to suppress its nuclear localization and oncogenic functions",1,2.415375,"epigenetic alterations",2.415375,Yes
"SIRT6 overexpression induces massive apoptosis in cancer cells but not in normal cells",1,1.756608,"epigenetic alterations",1.756608,Yes
"SIRT6 exhibits nucleosome-dependent deacetylase activity",2,1.646549,"epigenetic alterations",1.363116,Yes
"Lamin A Is an Endogenous SIRT6 Activator and Promotes SIRT6-Mediated DNA Repair",2,2.198422,"epigenetic alterations",1.200659,Yes
"Sirtuin 6 protects the brain from cerebral ischemia/reperfusion injury through NRF2 activation",2,2.382086,"epigenetic alterations",1.564005,Yes
"Natural polyphenols as sirtuin 6 modulators",2,3.609589,"epigenetic alterations",3.402472,Yes
"USP48 Is Upregulated by Mettl14 to Attenuate Hepatocellular Carcinoma via Regulating SIRT6 Stabilization",3,2.011207,"epigenetic alterations",0.864961,Yes
