Paper Title,Hallmark,Score,Is_Aging_Related
"Genomic Instability and Aging-like Phenotype in the Absence of Mammalian SIRT6","genome instability",1.6102591454982758,Yes
"Genomic Instability and Aging-like Phenotype in the Absence of Mammalian SIRT6","epigenetic alterations",0.8056144416332245,Yes
"Phylogenetic Classification of Prokaryotic and Eukaryotic Sir2-like Proteins","epigenetic alterations",3.1504108011722565,Yes
"Phylogenetic Classification of Prokaryotic and Eukaryotic Sir2-like Proteins","dysbiosis",0.413967102766037,Yes
"Evolutionarily Conserved and Nonconserved Cellular Localizations and Functions of Human SIRT Proteins","epigenetic alterations",3.398911476135254,Yes
"SIRT6 is a histone H3 lysine 9 deacetylase that modulates telomeric chromatin","epigenetic alterations",3.8601829409599304,Yes
"SIRT6 is a histone H3 lysine 9 deacetylase that modulates telomeric chromatin","telomere attrition",0.6536068320274353,Yes
"SIRT6 is a histone H3 lysine 9 deacetylase that modulates telomeric chromatin","genome instability",0.11228063702583313,Yes
"SIRT6 Links Histone H3 Lysine 9 Deacetylation to NF-κB-Dependent Gene Expression and Organismal Life Span","epigenetic alterations",4.268411219120026,Yes
"SIRT6 Links Histone H3 Lysine 9 Deacetylation to NF-κB-Dependent Gene Expression and Organismal Life Span","cellular senescence",0.41144245862960815,Yes
"The sirtuin SIRT6 regulates lifespan in male mice","epigenetic alterations",2.728014260530472,Yes
"The Histone Deacetylase Sirt6 Regulates Glucose Homeostasis via Hif1α","epigenetic alterations",2.9336065351963043,Yes
"The Histone Deacetylase Sirt6 Regulates Glucose Homeostasis via Hif1α","genome instability",0.11844289302825928,Yes
"SIRT6 Promotes DNA Repair Under Stress by Activating PARP1","genome instability",2.3280062079429626,Yes
"Slowing ageing by design: the rise of NAD+ and sirtuin-activating compounds","epigenetic alterations",2.1003952026367188,Yes
"SIRT6 regulates TNF-α secretion through hydrolysis of long-chain fatty acyl lysine","epigenetic alterations",1.0592289566993713,Yes
"miR-33a/b contribute to the regulation of fatty acid metabolism and insulin signaling","deregulated nutrient sensing",0.8440072238445282,Yes
"The Histone Deacetylase SIRT6 Is a Tumor Suppressor that Controls Cancer Metabolism","epigenetic alterations",2.0557366013526917,Yes
"Activation of the Protein Deacetylase SIRT6 by Long-chain Fatty Acids and Widespread Deacylation by Mammalian Sirtuins","epigenetic alterations",3.641150623559952,Yes
"Activation of the Protein Deacetylase SIRT6 by Long-chain Fatty Acids and Widespread Deacylation by Mammalian Sirtuins","genome instability",0.1495322287082672,Yes
"Mouse Sir2 Homolog SIRT6 Is a Nuclear ADP-ribosyltransferase","epigenetic alterations",0.8685335516929626,Yes
"Cellular Senescence as a Mechanism and Target in Chronic Lung Diseases","cellular senescence",0.8020001649856567,Yes
"Cellular Senescence as a Mechanism and Target in Chronic Lung Diseases","epigenetic alterations",0.5976635217666626,Yes
"Hepatic-Specific Disruption of SIRT6 in Mice Results in Fatty Liver Formation Due to Enhanced Glycolysis and Triglyceride Synthesis","epigenetic alterations",1.6161240637302399,Yes
"Hepatic-Specific Disruption of SIRT6 in Mice Results in Fatty Liver Formation Due to Enhanced Glycolysis and Triglyceride Synthesis","deregulated nutrient sensing",0.48215052485466003,Yes
"The sirtuin SIRT6 blocks IGF-Akt signaling and development of cardiac hypertrophy by targeting c-Jun","epigenetic alterations",3.9500333070755005,Yes
"LINE1 Derepression in Aged Wild-Type and SIRT6-Deficient Mice Drives Inflammation","epigenetic alterations",0.8703355193138123,Yes
"LINE1 Derepression in Aged Wild-Type and SIRT6-Deficient Mice Drives Inflammation","chronic inflammation",0.7963903546333313,Yes
"Protective effects of sirtuins in cardiovascular diseases: from bench to bedside","epigenetic alterations",2.270783483982086,Yes
"SIRT6 represses LINE1 retrotransposons by ribosylating KAP1 but this repression fails with stress and age","telomere attrition",0.5399579405784607,Yes
"SIRT6 represses LINE1 retrotransposons by ribosylating KAP1 but this repression fails with stress and age","genome instability",0.2785763740539551,Yes
"SIRT6 represses LINE1 retrotransposons by ribosylating KAP1 but this repression fails with stress and age","epigenetic alterations",0.2632855772972107,Yes
"SIRT6 Recruits SNF2H to DNA Break Sites, Preventing Genomic Instability through Chromatin Remodeling","epigenetic alterations",3.3067881166934967,Yes
"SIRT6 Recruits SNF2H to DNA Break Sites, Preventing Genomic Instability through Chromatin Remodeling","genome instability",1.6618084609508514,Yes
"SIRT1 and SIRT6 Signaling Pathways in Cardiovascular Disease Protection","epigenetic alterations",2.162760019302368,Yes
"SIRT1 and SIRT6 Signaling Pathways in Cardiovascular Disease Protection","mitochondrial dysfunction",0.5751364231109619,Yes
"SIRT1 and SIRT6 Signaling Pathways in Cardiovascular Disease Protection","chronic inflammation",0.5036370158195496,Yes
"RETRACTED: Human SIRT6 Promotes DNA End Resection Through CtIP Deacetylation","epigenetic alterations",1.922173261642456,Yes
"RETRACTED: Human SIRT6 Promotes DNA End Resection Through CtIP Deacetylation","genome instability",1.9651116132736206,Yes
"Critical Reanalysis of the Mechanisms Underlying the Cardiorenal Benefits of SGLT2 Inhibitors and Reaffirmation of the Nutrient Deprivation Signaling/Autophagy Hypothesis","disabled macroautophagy",0.6999586820602417,Yes
"Critical Reanalysis of the Mechanisms Underlying the Cardiorenal Benefits of SGLT2 Inhibitors and Reaffirmation of the Nutrient Deprivation Signaling/Autophagy Hypothesis","epigenetic alterations",1.0088127255439758,Yes
"Critical Reanalysis of the Mechanisms Underlying the Cardiorenal Benefits of SGLT2 Inhibitors and Reaffirmation of the Nutrient Deprivation Signaling/Autophagy Hypothesis","deregulated nutrient sensing",0.5635820627212524,Yes
"Chromatin and beyond: the multitasking roles for SIRT6","epigenetic alterations",1.980880856513977,Yes
"Chromatin and beyond: the multitasking roles for SIRT6","telomere attrition",0.5088791847229004,Yes
"Chromatin and beyond: the multitasking roles for SIRT6","genome instability",0.21355700492858887,Yes
"The nuclear signaling of NF-κB: current knowledge, new insights, and future perspectives","chronic inflammation",0.6683318614959717,Yes
"The role of sirtuins in cardiac disease","epigenetic alterations",4.278341978788376,Yes
"The role of sirtuins in cardiac disease","genome instability",0.48450347781181335,Yes
"Sirtuins mediate mammalian metabolic responses to nutrient availability","epigenetic alterations",1.426200807094574,Yes
"Sirtuins mediate mammalian metabolic responses to nutrient availability","deregulated nutrient sensing",0.46623703837394714,Yes
"SIRT6 Is Responsible for More Efficient DNA Double-Strand Break Repair in Long-Lived Species","genome instability",1.843010663986206,Yes
"Sirt6 deficiency exacerbates podocyte injury and proteinuria through targeting Notch signaling","epigenetic alterations",0.8962410092353821,Yes
"Sirt6 deficiency exacerbates podocyte injury and proteinuria through targeting Notch signaling","disabled macroautophagy",0.4144194722175598,Yes
"NAD+-dependent Sirtuin 1 and 6 Proteins Coordinate a Switch from Glucose to Fatty Acid Oxidation during the Acute Inflammatory Response","chronic inflammation",0.4223443269729614,Yes
"NAD+-dependent Sirtuin 1 and 6 Proteins Coordinate a Switch from Glucose to Fatty Acid Oxidation during the Acute Inflammatory Response","deregulated nutrient sensing",0.21330034732818604,Yes
"SIRT6 safeguards human mesenchymal stem cells from oxidative stress by coactivating NRF2","epigenetic alterations",0.8877451121807098,Yes
"SIRT6 safeguards human mesenchymal stem cells from oxidative stress by coactivating NRF2","mitochondrial dysfunction",0.6106675267219543,Yes
"SIRT6 safeguards human mesenchymal stem cells from oxidative stress by coactivating NRF2","stem cell exhaustion",0.4964922070503235,Yes
"Accelerated epithelial cell senescence in IPF and the inhibitory role of SIRT6 in TGF-β-induced senescence of human bronchial epithelial cells","cellular senescence",1.3938047289848328,Yes
"Sirtuins in Renal Health and Disease","epigenetic alterations",2.2315958440303802,Yes
"Sirtuins in Renal Health and Disease","chronic inflammation",0.5047944784164429,Yes
"The Dual Role of Sirtuins in Cancer","epigenetic alterations",2.1527953147888184,Yes
"SIRT6 protects against pathological damage caused by diet‐induced obesity","epigenetic alterations",1.176586538553238,Yes
"SIRT6 stabilizes DNA-dependent Protein Kinase at chromatin for DNA double-strand break repair","epigenetic alterations",0.6814624667167664,Yes
"SIRT6 stabilizes DNA-dependent Protein Kinase at chromatin for DNA double-strand break repair","genome instability",0.5679885745048523,Yes
"SIRT6 Suppresses Pancreatic Cancer through Control of Lin28b","epigenetic alterations",4.008492708206177,Yes
"Structure and Biochemical Functions of SIRT6","epigenetic alterations",2.872281551361084,Yes
"Structure and Biochemical Functions of SIRT6","genome instability",0.18495994806289673,Yes
"Partitioning Circadian Transcription by SIRT6 Leads to Segregated Control of Cellular Metabolism","epigenetic alterations",2.204267829656601,Yes
"The Deacetylase Sirt6 Activates the Acetyltransferase GCN5 and Suppresses Hepatic Gluconeogenesis","epigenetic alterations",1.9838959276676178,Yes
"The Deacetylase Sirt6 Activates the Acetyltransferase GCN5 and Suppresses Hepatic Gluconeogenesis","deregulated nutrient sensing",0.1597295105457306,Yes
"Intracellular NAD levels regulate tumor necrosis factor protein synthesis in a sirtuin-dependent manner","epigenetic alterations",1.311998724937439,Yes
"Intracellular NAD levels regulate tumor necrosis factor protein synthesis in a sirtuin-dependent manner","chronic inflammation",0.40448954701423645,Yes
"Sirtuins: guardians of mammalian healthspan","epigenetic alterations",2.9277573227882385,Yes
"Exercise alters SIRT1, SIRT6, NAD and NAMPT levels in skeletal muscle of aged rats","epigenetic alterations",1.4565067887306213,Yes
"Exercise alters SIRT1, SIRT6, NAD and NAMPT levels in skeletal muscle of aged rats","cellular senescence",0.4663846492767334,Yes
"Exercise alters SIRT1, SIRT6, NAD and NAMPT levels in skeletal muscle of aged rats","genome instability",0.6171595454216003,Yes
"Sirtuins and Type 2 Diabetes: Role in Inflammation, Oxidative Stress, and Mitochondrial Function","epigenetic alterations",3.278082847595215,Yes
"Sirtuins and Type 2 Diabetes: Role in Inflammation, Oxidative Stress, and Mitochondrial Function","mitochondrial dysfunction",0.6452770829200745,Yes
"Sirtuins and Type 2 Diabetes: Role in Inflammation, Oxidative Stress, and Mitochondrial Function","chronic inflammation",0.4519958794116974,Yes
"SIRT6: Novel Mechanisms and Links to Aging and Disease","epigenetic alterations",2.924556255340576,Yes
"SIRT6: Novel Mechanisms and Links to Aging and Disease","genome instability",0.06456390023231506,Yes
"Sirtuins, Cell Senescence, and Vascular Aging","epigenetic alterations",2.906980872154236,Yes
"Sirtuins, Cell Senescence, and Vascular Aging","cellular senescence",0.7469778656959534,Yes
"Sirtuins, Cell Senescence, and Vascular Aging","telomere attrition",0.6534157395362854,Yes
"Sirtuins, Cell Senescence, and Vascular Aging","genome instability",0.0,Yes
"Identification of a cellularly active SIRT6 allosteric activator","None",0,No
"Sirtuins and Their Roles in Brain Aging and Neurodegenerative Disorders","None",0,No
"Regulation of Akt Signaling by Sirtuins","epigenetic alterations",0.4330858588218689,Yes
"Liver cancer initiation is controlled by AP-1 through SIRT6-dependent inhibition of survivin","epigenetic alterations",2.118265599012375,Yes
"Site-specific mapping and quantification of protein S-sulphenylation in cells","epigenetic alterations",0.5617269277572632,Yes
"LncPRESS1 Is a p53-Regulated LncRNA that Safeguards Pluripotency by Disrupting SIRT6-Mediated De-acetylation of Histone H3K56","epigenetic alterations",2.672947973012924,Yes
"Tumor suppressor p53 cooperates with SIRT6 to regulate gluconeogenesis by promoting FoxO1 nuclear exclusion","epigenetic alterations",2.0719523429870605,Yes
"Tumor suppressor p53 cooperates with SIRT6 to regulate gluconeogenesis by promoting FoxO1 nuclear exclusion","deregulated nutrient sensing",0.2997267544269562,Yes
"Nuclear sirtuins and inflammatory signaling pathways","chronic inflammation",0.42900604009628296,Yes
"Melatonin attenuates diabetic cardiomyopathy and reduces myocardial vulnerability to ischemia‐reperfusion injury by improving mitochondrial quality control: Role of SIRT6","None",0,No
"SIRT6 deacetylates H3K18ac at pericentric chromatin to prevent mitotic errors and cellular senescence","genome instability",0.8508636653423309,Yes
"SIRT6 deacetylates H3K18ac at pericentric chromatin to prevent mitotic errors and cellular senescence","epigenetic alterations",1.675191044807434,Yes
"The Tumor-Suppressive Human Circular RNA CircITCH Sponges miR-330-5p to Ameliorate Doxorubicin-Induced Cardiotoxicity Through Upregulating SIRT6, Survivin, and SERCA2a","genome instability",0.6250277757644653,Yes
"SIRT6 Protects Smooth Muscle Cells From Senescence and Reduces Atherosclerosis","epigenetic alterations",2.1043298542499542,Yes
"SIRT6 Protects Smooth Muscle Cells From Senescence and Reduces Atherosclerosis","telomere attrition",0.75966477394104,Yes
"SIRT6 Protects Smooth Muscle Cells From Senescence and Reduces Atherosclerosis","cellular senescence",0.7383740544319153,Yes
"SIRT6 Protects Smooth Muscle Cells From Senescence and Reduces Atherosclerosis","chronic inflammation",0.4429934620857239,Yes
"SIRT6 Protects Smooth Muscle Cells From Senescence and Reduces Atherosclerosis","genome instability",0.4346504211425781,Yes
"SIRT6 Protects Smooth Muscle Cells From Senescence and Reduces Atherosclerosis","loss of proteostasis",0.35351210832595825,Yes
"Sirtuins and renal diseases: relationship with aging and diabetic nephropathy","epigenetic alterations",1.6517981886863708,Yes
"Sirtuins and renal diseases: relationship with aging and diabetic nephropathy","mitochondrial dysfunction",0.5619447827339172,Yes
"Sirtuins and renal diseases: relationship with aging and diabetic nephropathy","disabled macroautophagy",0.5282938480377197,Yes
"Sirtuins and renal diseases: relationship with aging and diabetic nephropathy","chronic inflammation",0.48861533403396606,Yes
"SIRT6, a Mammalian Deacylase with Multitasking Abilities","epigenetic alterations",1.579087108373642,Yes
"SIRT6, a Mammalian Deacylase with Multitasking Abilities","genome instability",0.8255563676357269,Yes
"SIRT6, a Mammalian Deacylase with Multitasking Abilities","deregulated nutrient sensing",0.16772353649139404,Yes
"SIRT6 Deficiency Results in Severe Hypoglycemia by Enhancing Both Basal and Insulin-stimulated Glucose Uptake in Mice","deregulated nutrient sensing",0.7328605651855469,Yes
"SIRT6 Deficiency Results in Severe Hypoglycemia by Enhancing Both Basal and Insulin-stimulated Glucose Uptake in Mice","epigenetic alterations",0.6477475166320801,Yes
"USP10 Antagonizes c-Myc Transcriptional Activation through SIRT6 Stabilization to Suppress Tumor Formation","epigenetic alterations",0.8736070692539215,Yes
"USP10 Antagonizes c-Myc Transcriptional Activation through SIRT6 Stabilization to Suppress Tumor Formation","loss of proteostasis",0.6501933336257935,Yes
"SIRT6 deficiency results in developmental retardation in cynomolgus monkeys","epigenetic alterations",1.3359721004962921,Yes
