human_gene_symbol,human_gene_id,signFDR,signLFC_FDR,final_score_p4,rank,logrank
EIF5,ENSG00000100664,-0.0181845976424587,-1.740296303825278,-0.31041795122338517,1452,3.161966616364075
B3GALT6,ENSG00000176022,-0.0353497588259241,-1.4516135448353318,-0.16289045401683167,5959,3.775173385424787
OXSM,ENSG00000151093,-0.0113525776385321,-1.9449055193436857,0.06032822474025647,19058,4.2800773226119455
MTIF2,ENSG00000085760,-0.0360100864847919,-1.443575835590037,-0.33479255504477234,1314,3.118595365223762
PLCG1,ENSG00000124181,0.00573585026982429,2.241402194132066,0.8465884647838637,9,0.9542425094393249
MIER2,ENSG00000105556,0.0124179131453187,1.9059513820678042,0.5484846838085786,168,2.225309281725863
USP35,ENSG00000118369,0.0342563906867728,1.4652583969861726,0.4289090971255978,526,2.7209857441537393
KIF3C,ENSG00000084731,0.0392204445163222,1.406487488437438,0.45683780791191453,383,2.583198773968623
TNIP2,ENSG00000168884,0.0113525776385321,1.9449055193436857,0.2466136522573268,3399,3.5313511645830595
PHLDB1,ENSG00000019144,0.0342563906867728,1.4652583969861726,0.4200949718636719,603,2.780317312140151
BZW1,ENSG00000082153,-0.0225607172995013,-1.6466470964323574,-0.8067026560998412,12,1.0791812460476249
NUMBL,ENSG00000105245,0.0468226945293338,1.329543597355568,0.6621816441744486,57,1.7558748556724915
SEMA4F,ENSG00000135622,0.0118581303483092,1.925983780062882,0.4360627479201996,473,2.6748611407378116
LAT2,ENSG00000086730,0.0313853294265262,1.5032733085499381,0.16129239263563538,6031,3.7803893284709527
C1QL3,ENSG00000165985,-0.0392204445163222,-1.406487488437438,-0.00076543397434062385,31581,4.499425877654731
GNAI2,ENSG00000114353,0.0158917169763324,1.7988291781190415,0.0013197924613931647,30850,4.489255168369261
LRRC42,ENSG00000116212,8.7071450257301e-4,3.060124221895172,0.26010419890650216,3301,3.5186455243303114
DNAJC18,ENSG00000170464,0.001254359901425,2.901577837685945,0.31777547292537384,1403,3.1470576710283598
FCHSD1,ENSG00000197948,0.00573585026982429,2.241402194132066,0.3196887621955532,1393,3.1439511164239633
PLIN1,ENSG00000166819,-0.0342563906867728,-1.4652583969861726,-0.14807249393127866,7491,3.87453979707101
VEZT,ENSG00000028203,0.0342563906867728,1.4652583969861726,0.2850407088541204,1949,3.2898118391176214
KLF11,ENSG00000172059,0.048065778512691,1.3181640191060373,0.36421706790578334,922,2.9647309210536292
PLSCR3,ENSG00000187838,0.00573585026982429,2.241402194132066,0.19483497435545968,5396,3.732071940999867
STX4,ENSG00000103496,0.0392204445163222,1.406487488437438,0.2393692437506697,3484,3.5420781463356255
REEP6,ENSG00000115255,-0.0181845976424587,-1.740296303825278,-0.008193338719111484,24411,4.387585570715276
KATNAL1,ENSG00000102781,0.0313853294265262,1.5032733085499381,0.1287001999254746,10668,4.028083007017838
MAT1A,ENSG00000151224,-0.0392204445163222,-1.406487488437438,-0.07674841436202877,13549,4.131907242774386
APLN,ENSG00000171388,-0.0313853294265262,-1.5032733085499381,-0.218335643717968,4163,3.619406410886777
TSPYL1,ENSG00000189241,0.0313853294265262,1.5032733085499381,0.7990357371614072,16,1.2041199826559248
ZNF518A,ENSG00000177853,4.67761176610451e-6,5.329975826741356,1.008113038930687,1,0
